epoch,loss,mrcnn_bbox_loss,mrcnn_class_loss,mrcnn_mask_loss,rpn_bbox_loss,rpn_class_loss,val_loss,val_mrcnn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_mask_loss,val_rpn_bbox_loss,val_rpn_class_loss
0,0.3225216033756733,0.03463498118147254,0.019802705390378834,0.21575091195106505,0.05073736934736371,0.0015918407351055066,0.2503415221969287,0.0217094924865347,0.011627411596815695,0.18125095353885132,0.03496110089349024,0.0007887693667946609
1,0.31896364033222196,0.03390792134590447,0.019996686470229178,0.2152593522965908,0.048260710828006266,0.001524555208387028,0.24895358085632324,0.02166899728278319,0.011805753350596537,0.1794490125594717,0.035218545094583976,0.000796858783084617
2,0.3342560538053513,0.033690438225865364,0.019450937781482935,0.21805157279968262,0.06085598160885274,0.002192709180439124,0.24882590319171097,0.021998189940032633,0.011582139540802349,0.1795688492782188,0.03498823218273394,0.0006740780630604025
3,0.30484063109755516,0.032280193541198966,0.018404899585060776,0.2068707364797592,0.04615029872395098,0.0011200888718631177,0.22454997671372962,0.016731984574686398,0.010929917373384038,0.16105742459044312,0.03517132839470199,0.0006449071158633822
4,0.3438653858304024,0.03792003548704088,0.020561114467680455,0.22069849911332132,0.06188905194401741,0.002782270658062771,0.2431131170103044,0.020947066516700117,0.011218998933944738,0.18209301138466055,0.028126272880895573,0.0007133519732936596
5,0.3185257945358753,0.03471357636153698,0.018440498982090502,0.2164474422633648,0.04774461271055043,0.0011652499778574566,0.23679983074014838,0.021550933463555393,0.01163926444044619,0.17220566150817004,0.030852134311289497,0.0005374215679969921
6,0.3260259346961975,0.03734289151616395,0.020950995557941495,0.21687855845689774,0.04961683098785579,0.0012222427452798002,0.23524397205222736,0.020121362300194574,0.011047177157844559,0.17042777732466208,0.03303618444073381,0.0005970558304397855
7,0.33064170545339583,0.03535494194738567,0.018345327742397784,0.21947943595051767,0.05544012140855193,0.002007463832749636,0.2601118218718153,0.02158922486176545,0.010595119819327287,0.1897440475947929,0.037016227107607956,0.0011527859487890082
8,0.3359393096864223,0.03518045094981789,0.018606033648364245,0.21894526770710945,0.060939816346392034,0.00225332664653979,0.24386629078424338,0.020948241577681267,0.01097977414698989,0.17479229650714181,0.03611951998688958,0.001012043218934471
9,0.3276392412185669,0.033098439783789214,0.018277828893624247,0.21200063732266425,0.06123256745561957,0.0030153526253416203,0.24963726690321258,0.022289807075691042,0.011208193842321634,0.17942205726197272,0.036152921419477825,0.0005498731415806988
